nom;rue;codePostal;ville;telephone;mail;
CREDES - CEZAM POITOU CHARENTES;ZI N°3 100 - rue Victor Hugo - BP 70641;16340;L'ISLE D'ESPAGNAC;;;
CREDIT COOPERATIF NANTES;42 bld guist'hau, BP 90215;44002;NANTES CEDEX 01;02 49 79 00 37;nantes@credit-cooperatif.coop;
CRESS AQUITAINE;centre d'affaires jean jacques bosc, 388 bld JJ Bosc;33323;BEGLES CEDEX;05 47 74 52 10;;
CRESS AQUITAINE;90 Rue Malbec;33800;BORDEAUX;05 47 74 52 10;contact@cressaquitaine.org;
CRESS BRETAGNE;187 rue de chatillon;35000;RENNES;02 99 85 89 53;;
CRESS PAYS DE LA LOIRE;42 rue des hauts pavés;44000;Nantes;02 40 74 02 49;accueil@cress-pdl.org;
CRESS POITOU CHARENTES;37 Rue Sadi Carnot;86000;POITIERS;;;
CRGE;37 rue Carnot;86000;POITIERS;05 49 88 25 57;contact@crge.com;
CRISALIDH;maison des sciences de l'homme d'aquitaine, domaine universitaire, 10 esplanade des antilles;33607;PESSAC CEDEX;05 56 84 45 61;crisalidh@u-bordeaux.fr;
CRISES - UQAM;Université du Québec à Montréal C.P. 8888 Succursale Centre-ville;H3C 3P8;MONTREAL QUEBEC;;;
CULTURE & SANTE;1 rue Aristide Briand;33152;CENON CEDEX;;;
D'ASQUES ET D'AILLEURS;85 Rue du Port;33240;ASQUES;;;
DATA ROUEN;iLE LACROIX;;;;contact@data-rouen.com;
DECLIC ENTREPRENEUR;;;;;;
DEUXIEME LABO;56 Boulevard Auguste Blanqui;75013;PARIS;;;
DEVINNOV;3 rue Maréchale de lattre de tassigny;44000;NANTES;;;
DFDEI - PAYS DE LA LOIRE;;;;;;
DIRECCTE AQUITAINE;118 Cours Maréchal Juin;33000;BORDEAUX;;;
DIRECCTE PAYS DE LA LOIRE;22 Mail Pablo Picasso;44000;NANTES;;;
DIRECTION REGIONALE A LA RECHERCHE ET A LA TECHNOLOGIE POUR L'AQUITAINE (DRRT);SGAR, 4b esplanade charles de gaulle;33077;BORDEAUX CEDEX;05 56 90 65 19;;
DLA CORREZE;10 Avenue Général Leclerc Maréchal de France;19100;BRIVE LA GAILLARDE;;dla-correze@mission-locale-tulle.fr;
DLA GERS;36 rue des canaris, BP 20587;32022;AUCH CEDEX 9;05 62 60 64 26;;
DLA INITIATIVE PERIGORD;Pôle interconsulaire - Cré@vallée Nord, 295 boulevard des Saveurs;24660;COULOUNIEIX CHAMIERS CEDEX;05 53 35 80 23;;
DU VERT DANS LES ROUAGES;11 rue de l'école;33100;BORDEAUX;;contact@duvertdanslesrouages.fr;
ECAIR;;;;;;
ECO SAVE;22 Rue Atlantis;87000;LIMOGES;;;
ECOLE DES MINES D'ALES;parc scientifique Georges Besse ;30035;NIMES CEDEX 01;04 66 38 70 58;;
ECOSSOLIES / SCIC ECOSSIMMO;le solilab, 8 rue saint dominique;44200;Nantes;;damien.labrousse@ecossolies.fr;
EDF;;;;;;
EFICUS;87 Quai des Queyries;33000;BORDEAUX;;;
EKITOUR;6 bis rue Albin Haller, ZI Republique 2;86000;POITIERS;05 49 47 73 13;ekitour@gmail.com;
ELLYX;123 avenue René Cassagne;33150;CENON;;;
ELYSEE;55 rue du faubourg saint honoré;75008;PARIS;01 42 92 78 68;;
ENERCOOP;87 Quai des Queyries;33100;BORDEAUX;;;
ENTREPRENEURS SOLIDAIRES;33 Rue Hector Blanchet;38500;VOIRON;;;
ESPACE MENDES France;1 Rue de la Cathédrale;86000;POITIERS;;;
ESSCA;5 Rue de Condé;33000;BORDEAUX;;;
ETIC;22 rue Mérigonde;81100;CASTRES;;;
ETICOOP;Credit agricole aquitaine, 304 boulevard du Président Wilson;33075;BORDEAUX;;;
EVOLUTION;;;;;;
FACE LILLE - FONDATION AGIR CONTRE L'EXCLUSION;20/1 rue de Tournai;59000;LILLE;03 20 50 52 84;;
FAMILIEN;;;;;;
FAMILLES RURALES;Avenue Gay Lussac;33370;ARTIGUES PRES BORDEAUX;;;
FEDERATION CSC 86;12 Rue des Carmélites;86000;POITIERS;;;
FEDERATION DEPARTEMENTALE & ASSOCIATIONS LOCALES;;;;;;
FEDERATION DES CENTRES SOCIAUX DE L'ALLIER;30 Rue Emile Guillaumin,;03130;LE DONJON;07 86 99 74 44;federation.csx03@gmail.com;
FEES SPECIALES;710 Rue Favre de Saint-Castor;34080;MONTPELLIER;;;
FESTI CUP;darwin eco-système, 87 quai des queyries;33100;BORDEAUX;09 78 23 43 27;;
FMS;;;;06 17 44 05 93; ;
FNAB;40 Rue de Malte;75011;PARIS;;;
FNARS NOUVELLE AQUITAINE;PA du Mirail, 23 av du mirail;33370;ARTIGUES PRES BORDEAUX;05 56 32 19 57;;
FONDATION BORDEAUX UNIVERSITE;166 Cours de l'Argonne;33000;BORDEAUX;;;
FONDATION CREDIT COOPERATIF;12 boulevard Pesaro - CS 10002;92024;NANTERRE CEDEX;01 47 24 88 18;;
FONDATION DE France;40 avenue HOCHE;75008;PARIS;;;
FONDES;6 Rue de Bel air;44000;NANTES;;;
France ACTIVE;3 Rue Franklin;93100;MONTREUIL;;;
France CLUSTERS;14 rue Passet;69007;LYON;04 78 53 87 59;;
GAB 44;1 Rue Marie Curie;44170;NOZAY;;;
GEEV;87 Quai des queyries, Darwin - Le Campement;33100;BORDEAUX;;;
GPV RIVE DROITE;Résidence Beausite - Bâtiment B0, Rue Marcel Paul;33150;CENON;;;
GRENIER DE MEZOS;Avenue de l'Océan;40170;MEZOS;;;
GROUPE BIZNESS;17 Boulevard de la Gare;31500;TOULOUSE;;;
HANDYLOVER;2 avenue Galillée, Téléport 1, BP 30153;86967;FUTUROSCOPE CEDEX;;;
IAE DE BORDEAUX;35 avenue abadie;33072;BORDEAUX CEDEX;05 56 00 45 67;;
ID37;6 Rue Jacques Vigier;37700;SAINT PIERRE DES CORPS;;;
IFAID;Domaine Universitaire, 11 Allée Ausone;33600;PESSAC;;;
IMPACT PARTENAIRES;18 rue de la Pépinière ;75008;PARIS;;;
IN EXTENSO;;;;;;
INAE;;;;;;
INCO;3 boulevard saint martin;75003;PARIS;01 85 73 62 43;;
INDISCRETE;ZI sud du Peuron CAE4;86300;CHAUVIGNY;05 49 478 760;;
INNORAMA;9  Rue Marguerite Lagrange;94110;ARCUEIL;;contact@innorama.fr;
INSERTION POITOU CHARENTES ACTIVE;37 Rue Sadi Carnot;08600;POITIERS;;;
INSHS;;;;;;
INSTEP AQUITAINE;centre activa, 4 allée Catherine de Bourbon;64000;PAU;05 59 30 72 38;delegation64@instep-aquitaine.org;
INTEGRAL RUEDI BAUR;5 Rue Jules Vallès;75011;PARIS;01 55 25 81 10;;
INTER MADE;18 rue du Transvaal;13004;MARSEILLE;04 91 50 66 16;;
INTERSTICES MEDIATION;13, rue des Envierges;75020;PARIS;;;
IPCA DLA DEUX SEVRES;60-68 rue Carnot;86000;POITIERS;;;
IPCA POITOU CHARENTES DLA VIENNE;37 Rue Sadi Carnot;86000;POITIERS;;;
IRESA;2 Rue Eugène Freyssinet;33140;VILLENAVE D'ORNON;;;
IRFSS;25 Rue des Terres Neuves;33130;BEGLES;;;
IRGO;35 avenue Abadie - Bâtiment C  Bureau D 417 - 4ème étage;33072;BORDEAUX CEDEX;;;
JESTOCKE.COM;12 rue Théodore Ducos;33000;BORDEAUX;;;
KOENA;2 esplanade de la Gar;95110;SANNOIS;;aloha@koena.net ;
KPMG;;;;;;
L AGE DE FAIRE;9 chemin de Choisy;04200;PEIPIN;;lejournal.lagedefaire@gmail.com;
L'AUTRE ENTREPRISE;111 cours maréchal Galliéni;33000;BORDEAUX;05 56 16 52 36;delphine.vandevoorde@lautrentreprise.fr;
LA 27EME REGION;4 Rue la Vacquerie;75011;PARIS;;;
LA BANQUE POSTALE;;;;;;
LA CALI;"Communauté d'Agglomération du Libournais
BP 2026";33502;LIBOURNE;;;
LA CONCIERGERIE SOLIDAIRE;87 Quai des Queyries;33100;BORDEAUX;;;
LA FONDA;53 boulevard de Charonne;75011;PARIS;01 45 49 06 58;;
LA POSTE;;;;;;
LA RISTOURNE;Darwin Eco Système, Le Campement, 87 Quai des Queyries;33100;BORDEAUX;;;
LA RUCHE BORDEAUX;66 rue Abbé de l'Epée;33000;BORDEAUX;;;
LA SERRE;27 bis allées Maurice Sarraut;31300;TOULOUSE;;location@la-serre.org;
LABO ESS;41 rue de Bellechasse;75007;PARIS;;;
LABORATOIRE ECOBIO - UNIVERSITE DE RENNES;Rue du Thabor;35000;RENNES;;;
LAREFI - labo d'analyse et rech en economie et finance internationales;16 avenue leon duguit, CS 50057;33608;PESSAC CEDEX;05 56 84 29 80;;
LASER COFINOGA;106/108 av du Président JF Kennedy;33606;MERIGNAC CEDEX;05 56 55 72 29;;
LE CAMPEMENT DARWIN;87 Quai des Queyries;33000;BORDEAUX;;;
LE LYRE;Lyonnaise des eaux, 91 rue Paulin, BP9;33029;BORDEAUX CEDEX;05 57 57 27 38;;
LE LYRE;univ Bordeaux 1, domaine du haut carré, Bat C4;33400;TALENCE;05 57 57 27 38;;
LE RALLYE DES PEPITES;3 Rond-Point de lou Pailley;33610;CESTAS;06 72 88 78 93;;
LE SONDIER;Le Tissoir, 29 Rue d'Ivry;69004;LYON;;;
LECENTSEPT;107 Rue de Marseille;69007;LYON;;;
LES APPRENTIS D'AUTEUIL;40 rue Jean de La Fontaine;75016;PARIS;;;
LES COOP HLM;14 rue Lord Byron;75384;PARIS CEDEX 08;01 40 75 79 48;;
LES ENTREPRENANTS;;;;;;
LES PETITES RIVIERES;Les Hucaudières;37510;VILLANDRY;;;
LES VIGIES;;;;;;
LEST;35  Avenue Jules Ferry;13626;AIX EN PROVENCE;;;
LILLE'S AGENCY;10 rue des Poissonceaux, BP 40213;59002;LILLE CEDEX;03 62 14 50 06;;
LPO PAYS DE LA LOIRE;35 rue de la Barre;49000;ANGERS;;;
LUMIN E SENS;9 Chemin Clément Laffargue,;33650;MARTILLAC;;;
MAIF;;;;;;
MAISON DE LA COMMUNICATION;3 Rue Alfred Kastler;17000;LA ROCHELLE;;;
MAISON POUR REBONDIR;91 Rue Nuyens;33100;BORDEAUX;;;
MAISON SIMEON;45 RUE LAKANAL;42300;ROANNE;;contact@lesmaisonsdesimeon.fr;
MARTINEZ FRERES;;;;;;
MATATOU;120 Chemin d'Ornon;33170;GRADIGNAN;;;
MCGILL;;;;;;
MEDEF GIRONDE;41 Rue Durieu de Maisonneuve;33000;BORDEAUX;;;
MIDI PYRENEES ACTIVES;32 rue de la caravelle;31500;TOULOUSE;05 62 73 16 53;;
MINISTERE DE L'ECOLOGIE, DU DEVELOPPEMENT DURABLE ET DE L'ENERGIE;Hôtel de Roquelaure 246 boulevard Saint-Germain;75007;PARIS;;;
MIROBOLE EDITIONS;106 rue dubourdieu;33800;BORDEAUX;;;
MONTPELLIER BUSINESS SCHOOL;2300 Avenue des Moulins;34080;MONTPELLIER;;;
MOUVES;204 Rue de Crimée;75019;PARIS;;;
MOZAIK ;;;;;;
MPR - LA MAISON POUR REBONDIR;91 rue Nuyens;33100;BORDEAUX;05 57 30 47 72;;
MSHS POITIERS;Bâtiment A5 5, rue Théodore Lefebvre TSA 21103;86073;POITIERS CEDEX;;;
MULTIVOTE;155 RUE DE COURCELLES;75017;PARIS;;;
NAIO Technologies;12 avenue de l'europe, villa el paso;31520;RAMONVILLE STE AGNEE;09 72 45 40 85;contact@naio-technologies.com;
